citation,total_cites,impact_factor,eigenfactor,year
"PLOS One, January 2013 | Volume 8 | Issue 1 | e53510",226708,3.53,1.17,2013
"PLOS ONE, January 2013 | Volume 8 | Issue 1 | e53940",332716,3.234,1.53341,2014
"PLOS ONE, February 2013 | Volume 8 | Issue 2 | e57285, doi:10.1371/journal.pone.0057285",332716,3.23,1.53,2014
"PLOS ONE, April 2013 | Volume 8 | Issue 4 | e62170",332716,3.23,1.53,2014
"PLOS ONE, May 2013 | Volume 8 | Issue 5 | e64904, doi:10.1371/journal.pone.0064904",332716,3.23,1.53,2014
"PLOS ONE, May 2013 | Volume 8 | Issue 5 | e63581",332716,3.23,1.53,2014
"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e70508, doi:10.1371/journal.pone.0070508",332716,3.23,1.53,2014
"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e68296, doi:10.1371/journal.pone.0068296",332716,3.23,1.53,2014
"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69485,  doi: 10.1371/journal.pone.0069485",332716,3.23,1.53,2014
"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69583, doi: 10.1371/journal.pone.0069583",332716,3.23,1.53,2014
"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69592",332716,3.23,1.53,2014
"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69134, doi:10.1371/journal.pone.0069134",332716,3.23,1.53,2014
"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71127",332716,3.23,1.53,2014
"PLOS ONE, January 2014 | Volume 9 | Issue 1 | e84982",332716,3.23,1.53,2014
"PLOS One, January 2014 | Volume 9 | Issue 1 | e86342",332716,3.23,1.53,2014
"PLOS One, January 2014 | Volume 9 | Issue 1 | e87003",332716,3.23,1.53,2014
"PLOS One, February 2014 | Volume 9 | Issue 2 | e89546",332716,3.23,1.53,2014
"PLOS One, February 2014 | Volume 9 | Issue 2 | e90318",332716,3.23,1.53,2014
"PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92066",332716,3.23,1.53,2014
"PLOS One, March 2014 | Volume 9 | Issue 3 | e92305",332716,3.23,1.53,2014
"PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92626",332716,3.23,1.53,2014
"PLOS One, March 2014 | Volume 9 | Issue 3 | e90608",332716,3.23,1.53,2014
"PLOS One, April 2014 | Volume 9 | Issue 4 | e94830",332716,3.23,1.53,2014
"PLOS One, April 2014 | Volume 9 | Issue 4 | e95434",332716,3.23,1.53,2014
"PLOS One, April 2014 | Volume 9 | Issue 4 | e92189",332716,3.23,1.53,2014
"PLOS One, 14 April 2014 | Volume 9 | Issue 4 | e94472",332716,3.23,1.53,2014
"PLOS One, April 2014 | Volume 9 | Issue 4 | e95926",332716,3.23,1.53,2014
"PLOS One, April 2014 | Volume 9 | Issue 4 | e93995",332716,3.23,1.53,2014
"PLOS One, April 2014 | Volume 9 | Issue 4 | e93563",332716,3.23,1.53,2014
"PLOS ONE, May 2014 | Volume 9 | Issue 5 | e96343",332716,3.23,1.53,2014
"PLoS ONE 9(6): e99137, June 11, 2014. doi:10.1371/journal.pone.0099137",332716,3.23,1.53,2014
"PLOS ONE, June 2014 | Volume 9 | Issue 6 | e98448",332716,3.23,1.53,2014
"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e105049, doi: 10.1371/journal.pone.0105049",332716,3.23,1.53,2014
"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e103868",332716,3.23,1.53,2014
"PLOS Biology, April 2014 | Volume 12 | Issue 4 | e1001847",25729,9.34,0.09,2014
"PLOS Genetics, March 2013 | Volume 9 | Issue 3 | e1003361, doi:10.1371/journal.pgen.1003361",27581,8.17,0.19,2013
"PLOS Genetics, January 2013 | Volume 9 | Issue 1 | e1003094",27581,8.17,0.19,2013
"PLOS Genetics, January 23, 2014DOI: 10.1371",33624,7.53,0.2,2014
"PLOS Genetics, July 2014 | Volume 10 | Issue 7 | e1004480",33624,7.53,0.2,2014
"PLOS Pathogens, August 2013 | Volume 9 | Issue 8 | e1003576",25613,8.06,0.14,2013
"PLOS Pathogens, January 2013 | Volume 9 | Issue 1 | e1003114",25613,8.06,0.14,2013
"PLOS Pathogens, June 2013 | Volume 9 | Issue 6 | e1003445",25613,8.06,0.14,2013
"PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003845",30229,7.56,0.15,2014
"PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003896",30229,7.56,0.15,2014
"PLOS Pathogens 2014, April 2014 | Volume 10 | Issue 4 | e1004059, doi:10.1371/journal.ppat.1004059",30229,7.56,0.15,2014
"PLOS Pathogens, February 2014 | Volume 10 | Issue 2 | e1003981",30229,7.56,0.15,2014
"PLOS Pathogens,  June 2014 | Volume 10 | Issue 6 | e1004195",30229,7.56,0.15,2014
PLOS Neglected Tropical Diseases June 2014 | Volume 8 | Issue 6 | e28901,11704,4.45,0.05,2014
mBio 2(6):  2011,451,5.31,0,2011
mBio 3(6): 2012,1260,5.62,0.01,2012
mBio 4(3): 2013,2747,6.88,0.02,2013
"Infect. Immun. June 1996, p. 2282–2287 Vol. 64, No. 6",,,,
"Infection, and Immunity, Jan. 1999, p. 80–87 Vol. 67, No. 1",35839,4.18,,1999
"Infection, and Immunity, Jan. 2000, p. 72–79 Vol. 68, No. 1",37270,4.2,,2000
"Infection, and Immunity, Oct. 2001, p. 6131–6139 Vol. 69, No. 10",41031,4.21,,2001
"Infect. Immun. Feb. 2003, p. 948–955 Vol. 71, No. 2",40503,3.88,,2003
"Infection and Immunity 73: Feb. 2003, p. 766–773",40503,3.88,,2003
"Infect. Immun. Mar. 2003, p. 1209–1216",40503,3.88,,2003
"Infect. Immun. Mar. 2004, p. 1223–1229 Vol. 72, No. 3",44011,4.03,,2004
"Infect. Immun. Mar. 2005, p. 1386–1398 Vol. 73, No. 3",45582,3.93,,2005
"Infection, and Immunity, Mar. 2005, p. 1754–1763 Vol. 73, No. 3",45582,3.93,,2005
"Infect. Immun. Feb. 2006, p. 1148–1155 Vol. 74, No. 2",47906,4,,2006
"Infect. Immun. Mar. 2009, p. 1031–1043 Vol. 77, No. 3",52874,4.21,0.11,2009
"Infection, and Immunity, Feb. 2009, p. 825–836 Vol. 77, No. 2",52874,4.21,0.11,2009
"Infect. Immun. Mar. 2010, p. 994–1003 Vol. 78, No. 3",51762,4.1,0.1,2010
"Infect. Immun. Mar. 2010, p. 994–1003 Vol. 78, No. 3",51762,4.1,0.1,2010
"Infect. Immun. Feb. 2011, p. 895–904 Vol. 79, No. 2",51523,4.17,0.08,2011
"Infect. Immun. May 2011, p. 1936–1950 Vol. 79, No. 5",51523,4.17,0.08,2011
"Infect. Immun. 2012, 80(8):2920",50191,4.07,0.07,
"Infect. Immun. 2012, 80(7):2558",50191,4.07,0.07,
"Infect. Immun. 2012, 80(8):2689",50191,4.07,0.07,
"Infect. Immun. 2012, 80(1):215",50191,4.07,0.07,
"Infect. Immun. 2012, 80(3):1193",50191,4.07,0.07,
"Infect. Immun. 2012, 80(8):2948",50191,4.07,0.07,
"Infect. Immun. 2013, 81(4):1207",50046,4.16,0.06,2013
"Infect. Immun. 2013, 81(12):4509",50046,4.16,0.06,2013
"Infect. Immun. 2013, 81(9):3239. DOI: 10.1128/IAI.00552-13",50046,4.16,0.06,2013
"Infect. Immun. 2013, 81(11):3975",50046,4.16,0.06,2013
"Infect. Immun. 2012, 80(6):2121",50191,4.07,0.07,2012
"Infection, and Immunity, September 2014 Volume 82 Number 9 p. 3867–3879",48987,3.73,0.05,2014
"J. Clin. Microbiol. 1998, 36(6):1666-1673",24454,3.58,,1998
"J. Clin. Microbiol. 2003, 41(8):3584",33327,3.49,,2003
"J. Clin. Microbiol. 2003, 41(6):2341",33327,3.49,,2003
"J. Clin. Microbiol. 2004, 42(2):665",35117,3.44,,2004
"J. Clin. Microbiol. 2004, 42(12):5885",35117,3.44,,2004
"J. Clin. Microbiol. 2004, 42(3):1082",35117,3.44,,2004
"J. Clin. Microbiol. 2005, 43(7):3512. DOI: 10.1128/JCM.43.7.3512-3515.2005",38704,3.54,,2005
"J. Clin. Microbiol. 2005, 43(8):4002",38704,3.54,,2005
"J. Clin. Microbiol. 2006, 44(8):2831",40002,3.45,,2006
"J. Clin. Microbiol. 2006, 44(3):772",40002,3.45,,2006
"J. Clin. Microbiol. 2009, 47(6):1712. DOI: 10.1128/JCM.00001-09",49301,4.16,0.11,2009
"BioMed Research International - Volume 2013, Article ID 308130 ",336,,0,2013
"BioMed Research International, Volume 2013, Article ID 582526",336,,0,2013
"BioMed Research International Volume 2013, Article ID 358945",336,,0,2013
"BioMed Research International Volume 2013, Article ID 210604",336,,0,2013
"BioMed Research International, Volume 2014, Article ID 272101",4272,1.58,0.01,2014
"BioMed Research International Volume 2014, Article ID 424767",4272,1.58,0.01,2014
"BioMed Research International, Volume 2014, Article ID 164391",4272,1.58,0.01,2014
"BioMed Research International, Volume 2014, Article ID 936978",4272,1.58,0.01,2014
"Evidence-Based Complementary, and Alternative Medicine, Volume 2011, Article ID 507920",2609,1.72,0.01,
"Evidence-Based Complementary, and Alternative Medicine, Volume 2012, Article ID 595292",2609,1.72,0.01,
"Evidence-Based Complementary, and Alternative Medicine, Volume 2012, Article ID 378415",2609,1.72,0.01,
"Evidence-Based Complementary, and Alternative Medicine, Volume 2012, Article ID 732578",2609,1.72,0.01,
"Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 594906",4798,2.18,0.01,2013
"Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 467245",4798,2.18,0.01,2013
"Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 938081",4798,2.18,0.01,2013
"Evidence-Based Complementary, and Alternative Medicine, Volume 2014, Article ID 640857",6427,1.88,0.02,2014
"Evidence-Based Complementary, and Alternative Medicine, Volume 2014, Article ID 989340",6427,1.88,0.02,2014
"Int. J. Cancer: 133, 247–252 (2013)",46009,5.01,0.1,2013
"Int. J. Cancer: 133, 275–286 (2013) ",46009,5.01,0.1,2013
"Int. J. Cancer: 133, 2726–2736 (2013)",46009,5.01,0.1,2013
"Int. J. Cancer: 133, 43–58 (2013) ",46009,5.01,0.1,2013
"Int. J. Cancer: 133, 2650–2661 (2013)",46009,5.01,0.1,2013
"Int. J. Cancer: 132, 90–100 (2013)",46009,5.01,0.1,2013
"Int. J. Cancer: 132, 1940–1953 (2013)",46009,5.01,0.1,2013
"Int. J. Cancer: 132, 795–806 (2013)",46009,5.01,0.1,2013
"Int. J. Cancer: 132, 2270–2282 (2013)",46009,5.01,0.1,2013
"Int. J. Cancer: 132, 2258–2269 (2013)",46009,5.01,0.1,2013
"Journal of Applied Microbiology 2010, 109:1668–1676",51021,4.22,0.1,2010
"Environmental Microbiology (2009) 11(5), 1126–1136",8268,4.91,0.04,2009
"Environmental Microbiology (2012) 14(8), 1982–1994",13228,5.76,0.05,2012
"Environmental Microbiology (2012) 14(10), 2788–2799",13228,5.76,0.05,2012
"Microbiol. Immunol., 48(4), 289–295, 2004",2167,1.44,,2004
"Microbiol. Immunol., 49(3), 219–225, 2005",2183,1.61,,2005
Microbiol Immunol 2010; 54: 564–567,2634,1.23,0.01,2010
"Letters in Applied Microbiology 55, 73–81, 2012",6273,1.63,0.01,2012
BMC Microbiology 2010,3159,2.96,0.02,2010
"BMC Microbiology 2013, 13:113",6431,2.98,0.03,2013
"Genome Biology 2013, 14:R121",19687,10.47,0.08,2013
"Breast Cancer Research 2012, 14:R35",7547,5.87,0.03,2012
"Breast Cancer Research 2012, 14:R86",7547,5.87,0.03,2012
"Breast Cancer Research 2012, 14:R127",7547,5.87,0.03,2012
"Breast Cancer Research 2012, 14:R85",7547,5.87,0.03,2012
"Breast Cancer Research 2013, 15:R49",8270,5.88,0.03,2013
"Breast Cancer Research 2014, 16:R75",8885,5.49,0.03,2014
Lung Cancer 34 (2001) 99–104,1370,2.92,,2001
"Lung Cancer (2003) 41, 363__/367",2013,1.8,,2013
"Lung Cancer (2006) 53, 263—271",4359,3.55,,2006
"Lung Cancer (2006) 53, 273—284",4359,3.55,,2006
Lung Cancer 63 (2009) 227–234,5730,3.12,0.02,2009
Lung Cancer 67 (2010) 205–215,6396,3.36,0.02,2010
Lung Cancer 69 (2010) 232–238,6396,3.36,0.02,2010
Lung Cancer 73 (2011) 302–309,6587,3.43,0.02,2011
Lung Cancer 76 (2012) 32–38,7698,3.39,0.02,2012
Journal of Autoimmunity 25 (2005) 206-214,2180,2.49,,2005
Journal of Autoimmunity 24 (2005) 69-78,2180,2.49,,2005
Journal of Autoimmunity 27 (2006) 38-49,1990,2.15,,2006
Journal of Autoimmunity 28 (2007) 99-113,2631,3.39,0.01,2007
Journal of Autoimmunity 32 (2009) 85–93,3239,7.23,0.01,2009
Journal of Autoimmunity 54 (2014) 118-126,4722,8.41,0.01,2014
Cytokine 26 (2004) 1-8,3372,1.99,,2004
Cytokine 30 (2005) 328-338,3466,2.01,,2005
Cytokine 30 (2005) 319-327,3466,2.01,,2005
Cytokine 35 (2006) 67–76,3845,2.36,,2005
Cytokine 36 (2006) 245–253,3845,2.36,,2005
Cytokine 36 (2006) 218–228,3845,2.36,,2005
Cytokine 33 (2006) 138e144,3845,2.36,,2005
Cytokine 37 (2007) 227–235,3838,2.17,0.01,2007
Cytokine 44 (2008) 221–228,4193,2.21,0.01,2008
Cytokine 44 (2008) 33–43,4193,2.21,0.01,2008
Cytokine 42 (2008) 198–204,4193,2.21,0.01,2008
Cytokine 42 (2008) 222–233,4193,2.21,0.01,2008
Cytokine 48 (2009) 170–176,4613,2.12,0.02,2009
Cytokine 46 (2009) 96–99,4613,2.12,0.02,2009
Cytokine 46 (2009) 72–78,4613,2.12,0.02,2009
Cytokine 46 (2009) 137–141,4613,2.12,0.02,2009
Cytokine 49 (2010) 312–318,4998,3.54,0.01,2010
Cytokine 56 (2011) 245–255,5401,3.02,0.01,2011
Cytokine 56 (2011) 573–580,5401,3.02,0.01,2011
Cytokine 54 (2011) 305–314,5401,3.02,0.01,2011
Cytokine 53 (2011) 42–51,5401,3.02,0.01,2011
Cytokine 56 (2011) 365–375,5401,3.02,0.01,2011
Cytokine 60 (2012) 360–368,5872,2.52,0.01,2012
Cytokine 60 (2012) 718–730,5872,2.52,0.01,2012
Cytokine 60 (2012) 284–293,5872,2.52,0.01,2012
Cytokine 63 (2013) 1–5,6671,2.87,0.02,2013
Cytokine 62 (2013) 407–412,6671,2.87,0.02,2013
Cytokine 70 (2014) 87–96,7066,2.66,0.02,2014
"Science 321, 1357 (2008)",409290,28.1,1.58,2008
"Science 325, 1254 (2009)",444643,29.75,1.52,2009
"Science 339, 1092 (2013)",537035,31.48,1.28,2013
Nature. 1998 Jan 1;391(6662):96-9.,288026,28.83,,1998
"Nature, Vol. 401, 7 October 1999, page 616",303563,29.49,,1999
"Nature, Vol. 454, 24 July 2008, page 528",443967,31.43,1.76,2008
"Nature, Vol 454, 7 August 2008, page 776",443967,31.43,1.76,2008
"Nature, Vol 459|18 June 2009",483039,34.48,1.75,2009
"Nature, 2011 Oct 19;480(7375):94-8",526505,36.28,1.66,2011
"Nature, Vol 504, 19/26 DECEMBER 2013",590324,42.35,1.6,2013
"Oncogene (2014) 33, 2295–2306",64071,8.46,0.1,2014
"Oncogene (2013) 32, 1691–1701",62603,8.56,0.13,2013
"Oncogene (2014) 33, 2577–2588",64071,8.46,0.1,2014
"Oncogene (2014), 1–13",64071,8.46,0.1,2014
"Oncogene (2015) 34, 826–837",64269,7.93,0.09,2015
J. Cell Biol. Vol. 199 No. 3 481–496,72974,10.82,0.17,2012
"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 197-201, 2013",10283,2.77,0.02,2013
"INTERNATIONAL JOURNAL OF ONCOLOGY 41: 1809-1819, 2012",9530,2.66,0.02,2012
"INTERNATIONAL JOURNAL OF ONCOLOGY 41: 611-620, 2012",9530,2.66,0.02,2012
"INTERNATIONAL JOURNAL OF ONCOLOGY 40: 1779-1788, 2012",9530,2.66,0.02,2012
"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 1113-1119, 2013",10283,2.77,0.02,2013
"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 690-698, 2013",10283,2.77,0.02,2013
"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 873-880, 2013",10283,2.77,0.02,2013
"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 1263-1270, 2013",10283,2.77,0.02,2013
"INTERNATIONAL JOURNAL OF ONCOLOGY 42: 1993-2000, 2013",10283,2.77,0.02,2013
"Cancer Cell 23, 784–795, June 10, 2013 ",24929,23.89,0.11,2013
"Cancer Cell 22, 601–614, November 13, 2012",22200,24.76,0.11,2012
"Cancer Cell 25, 21–36, January 13, 2014",27283,23.52,0.11,2014
"Cancer Cell 23, 489–501, April 15, 2013",24929,23.89,0.11,2013
"Cancer Cell 26, 754–769, November 10, 2014",27283,23.52,0.11,2014
"PNAS | March 22, 2011 | vol. 108 | no. 12, 870–4875",,,,2011
"PNAS | April 10, 2012 | vol. 109 | no. 15 | 5729–5734",,,,2012
"PNAS _ April 17, 2012 _ vol. 109 _ no. 16, 6036–6041",,,,2012
"PNAS | July 9, 2013 | vol. 110 | no. 28 | 11409–11414",,,,2013
"PNAS | January22,2013 | vol.110 | no.4 | 1441",,,,2013
"PNAS | Published online December 23, 2013 | E89–E98",,,,2013
