"first_author","title"
"Inka Regine Weingaertner","Chronic Morphine Treatment Attenuates Cell Growth of Human BT474 Breast Cancer Cells by Rearrangement of the ErbB Signalling Network"
"Jessica M. Esparza","Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii"
"Sreedevi Avasarala","Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Viral- induced Acute Respiratory Distress Syndrome"
"Rounak Nassirpour","miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells"
"Jianuo Liu","HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity"
"Yang Wang","Elevated Maspin Expression Is Associated with Better Overall Survival in Esophageal Squamous Cell Carcinoma (ESCC)"
"Elizabeth Ngoc Hoa Tran","LPS Unmasking of Shigella flexneri Reveals Preferential Localisation of Tagged Outer Membrane Protease IcsP to Septa and New Poles"
"Fabio Sallustio","miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells"
"Jia Ma","Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species"
"Yael Friedman-Levi","PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Genetic Prion Disease"
"Yan Zhang","Baicalein Selectively Induces Apoptosis in Activated Lymphocytes and Ameliorates Concanavalin A-Induced Hepatitis in Mice"
"Zhongpu Chen","Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a"
"Akrem Abdulsid","Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor"
"Fang Liu","DUSP1 Is a Novel Target for Enhancing Pancreatic Cancer Cell Sensitivity to Gemcitabine"
"Jagannath Misra","Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH"
"Trent Fowler","Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells"
"Mojca Jez","Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells"
"Zhenni Zhang","Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway"
"Christophe Broca","Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets"
"Sylwia Flis","DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells"
"Takaharu Nakayoshi","FOXO4-Knockdown Suppresses Oxidative Stress-Induced Apoptosis of Early Pro-Angiogenic Cells and Augments Their Neovascularization Capacities in Ischemic Limbs"
"Yuri Churin","Pathological Impact of Hepatitis B Virus Surface Proteins on the Liver Is Associated with the Host Genetic Background"
"Chuan Li","Ectopic Expression of a Maize Hybrid Down-Regulated Gene ZmARF25 Decreases Organ Size by Affecting Cellular Proliferation in Arabidopsis"
"Gail Doughton","Formation of a Polarised Primitive Endoderm Layer in Embryoid Bodies Requires Fgfr/ Erk Signalling"
"Liliana O. Rocha","Multi-Method Approach for Characterizing the Interaction between Fusarium verticillioides and Bacillus thuringiensis Subsp. Kurstaki"
"Prabuddha Dey","Functional Characterization of Two Structurally Novel Diacylglycerol Acyltransferase2 Isozymes Responsible for the Enhanced Production of Stearate-Rich Storage Lipid in Candida tropicalis SY005"
"Xiaomei Ge","Stac3 Inhibits Myoblast Differentiation into Myotubes"
"Xudong Shi","TGF-b/Smad3 Stimulates Stem Cell/Developmental Gene Expression and Vascular Smooth Muscle Cell De-Differentiation"
"Yushen Jiang","Cell Atavistic Transition: Paired Box 2 Re-Expression Occurs in Mature Tubular Epithelial Cells during Acute Kidney Injury and Is Regulated by Angiotensin II"
"Ambrish Kumar","Sparstolonin B, a Novel Plant Derived Compound, Arrests Cell Cycle and Induces Apoptosis in N-Myc Amplified and N-Myc Nonamplified Neuroblastoma Cells"
"Bo Gao","Dose-Dependent Effect of Estrogen Suppresses the Osteo-Adipogenic Transdifferentiation of Osteoblasts via Canonical Wnt Signaling Pathway"
"Yang Liu","Carbon Ion Radiation Inhibits Glioma and Endothelial Cell Migration Induced by Secreted VEGF"
"Manasa K. Nayak","Aspirin Delimits Platelet Life Span by Proteasomal Inhibition"
"Wasia Rizwani","S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression"
"Shiuan Wang","The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration"
"Apiruck Watthanasurorot","Astakine 2—the Dark Knight Linking Melatonin to Circadian Regulation in Crustaceans"
"Dawn E. Watkins-Chow","Mutation of the Diamond-Blackfan Anemia Gene Rps7 in Mouse Results in Morphological and Neuroanatomical Phenotypes"
"Erica P. Homan","Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues"
"Natalia Lopez-del Hoyo","Functional EF-Hands in Neuronal Calcium Sensor GCAP2 Determine Its Phosphorylation State and Subcellular Distribution In Vivo and Are Essential for Photoreceptor Cell Integrity"
"Cathleen D. Valentine","X-Box Binding Protein 1 (XBP1s) Is a Critical Determinant of Pseudomonas aeruginosa Homoserine Lactone-Mediated Apoptosis"
"Shipan Dai","Fine Tuning Inflammation at the Front Door: Macrophage Complement Receptor 3-mediates Phagocytosis and Immune Suppression for Francisella tularensis"
"Vicente Ramírez","An Extracellular Subtilase Switch for Immune Priming in Arabidopsis"
"Haitao Wei","Suppression of Interferon Lambda Signaling by SOCS-1 Results in Their Excessive Production during Influenza Virus Infection"
"Meleri Jones","RNA-seq Analysis of Host and Viral Gene Expression Highlights Interaction between Varicella Zoster Virus and Keratinocyte Differentiation"
"Miti Jearaphunt","Caspase-1-Like Regulation of the proPO-System and Role of ppA and Caspase-1-Like Cleaved Peptides from proPO in Innate Immunity"
"Niyas Kudukkil Pulloor","Human Genome-Wide RNAi Screen Identifies an Essential Role for Inositol Pyrophosphates in Type-I Interferon Response"
"Verity G. Kew","Mitogen and Stress Activated Kinases Act Co-operatively with CREB during the Induction of Human Cytomegalovirus Immediate-Early Gene Expression from Latency"
"Michelle Khai Khun Yap","Pharmacokinetics of Naja sumatrana (Equatorial Spitting Cobra) Venom and Its Major Toxins in Experimentally Envenomed Rabbits"
"Jianming Chen","Epsilon-Toxin Production by Clostridium perfringens Type D Strain CN3718 Is Dependent upon the agr Operon but Not the VirS/VirR Two-Component Regulatory System"
"Doblin Sandai","The Evolutionary Rewiring of Ubiquitination Targets Has Reprogrammed the Regulation of Carbon Assimilation in the Pathogenic Yeast Candida albicans"
"Anusha M. Gopalakrishnan","Opposing Roles for Two Molecular Forms of Replication Protein A in Rad51-Rad54-Mediated DNA Recombination in Plasmodium falciparum"
"Christopher W. Cutler","Hemin-Induced Modifications of the Antigenicity and Hemin-Binding Capacity of Porphyromonas gingivalis Lipopolysaccharide"
"Brenda A. Wilson","Localization of the Intracellular Activity Domain of Pasteurella multocida Toxin to the N Terminus"
"S. Jeyaseelan","Lymphocyte Function-Associated Antigen 1 Is a Receptor for Pasteurella haemolytica Leukotoxin in Bovine Leukocytes"
"S. Jeyaseelan","Mannheimia haemolytica Leukotoxin Activates a Nonreceptor Tyrosine Kinase Signaling Cascade in Bovine Leukocytes, Which Induces Biological Effects"
"Nobuo Okahashi","Infection by Streptococcus pyogenes Induces the Receptor Activator of NF-__B Ligand Expression in Mouse Osteoblastic Cells"
"Stephanie Dahan","Saccharomyces boulardii Interferes with Enterohemorrhagic Escherichia coli-Induced Signaling Pathways in T84 Cells"
"Laura W. Schrum","Functional CD40 Expression Induced following Bacterial Infection of Mouse and Human Osteoblast"
"Sen Rong Yan","Role of MyD88 in Diminished Tumor Necrosis Factor Alpha Production by Newborn Mononuclear Cells in Response to Lipopolysaccharide"
"Peter L. W. Yun","Functional Implication of the Hydrolysis of Platelet Endothelial Cell Adhesion Molecule 1 (CD31) by Gingipains of Porphyromonas gingivalis for the Pathology of Periodontal Disease"
"Samithamby Jeyaseelan","Distinct Roles of Pattern Recognition Receptors CD14 and Toll-Like Receptor 4 in Acute Lung Injury"
"Ellen J. Beswick","The Helicobacter pylori Urease B Subunit Binds to CD74 on Gastric Epithelial Cells and Induces NF-__B Activation and Interleukin-8 Production"
"Catherine J. Hunter","Lactobacillus bulgaricus Prevents Intestinal Epithelial Cell Injury Caused by Enterobacter sakazakii-Induced Nitric Oxide both In Vitro and in the Newborn Rat Model of Necrotizing Enterocolitis__"
"Suleyman Felek","The Yersinia pestis Ail Protein Mediates Binding and Yop Delivery to Host Cells Required for Plague Virulence__"
"Paola Massari","Meningococcal Porin PorB Prevents Cellular Apoptosis in a Toll-Like Receptor 2- and NF-__B-Independent Manner__"
"Min-Hee Cho","Bacillus anthracis Capsule Activates Caspase-1 and Induces Interleukin-1__ Release from differentiated THP-1 and Human Monocyte-Derived Dendritic Cells__"
"Yuan Du","Nasal Immunization with a Fusion Protein Consisting of the Hemagglutinin A Antigenic Region and the Maltose-Binding Protein Elicits CD11c__ CD8__ Dendritic Cells for Induced Long-Term Protective Immunity__"
"Eva Hervet","Protein Kinase LegK2 Is a Type IV Secretion System Effector Involved in Endoplasmic Reticulum Recruitment and Intracellular Replication of Legionella pneumophila__"
"Asim A. Siddiqui","Fine Specificity of Plasmodium vivax Duffy Binding Protein Binding Engagement of the Duffy Antigen on Human Erythrocytes"
"Balamayooran Theivanthiran","NOD2 Signaling Contributes to Host Defense in the Lungs against Escherichia coli Infection"
"Javier Santander","Fur-Regulated Iron Uptake System of Edwardsiella ictaluri and Its Influence on Pathogenesis and Immunogenicity in the Catfish Host"
"Kaitlyn Morse","Association and Evidence for Linked Recognition of Type IV Secretion System Proteins VirB9-1, VirB9-2 and VirB10 in Anaplasma marginale"
"Wael Abdel Halim Hegazy","Evaluation of Salmonella enterica Type III Secretion System Effector Proteins as Carriers for Heterologous Vaccine Antigens"
"Yun Sun","Edwardsiella tarda Eta1, an In Vivo-Induced Antigen That Is Involved in Host Infection"
"Carlos J. Blondel","The Type VI Secretion System Encoded in Salmonella Pathogenicity Island 19 Is Required for Salmonella enterica Serotype Gallinarum Survival within Infected Macrophages"
"Kelei Zhao","Pseudomonas aeruginosa Outer Membrane Vesicles Modulate Host Immune Responses by Targeting the Toll-Like Receptor 4 Signaling Pathway"
"Whitney M. Amyot","Poison Domains Block Transit of Translocated Substrates via the Legionella pneumophila Icm/Dot System"
"Xianqiong Zou","Augmentation of Epithelial Resistance to Invading Bacteria by Using mRNA Transfections"
"Xiucai Xu","Reactive Oxygen Species-Triggered Trophoblast Apoptosis Is Initiated by Endoplasmic Reticulum Stress via Activation of Caspase-12, CHOP and the JNK Pathway in Toxoplasma gondii Infection in Mice"
"Jiale Ma","Two Functional Type VI Secretion Systems in Avian Pathogenic Escherichia coli Are Involved in Different Pathogenic Pathways"
"N. Zhi","Cloning and Expression of the 44-Kilodalton Major Outer Membrane Protein Gene of the Human Granulocytic Ehrlichiosis Agent and Application of the Recombinant Protein to Serodiagnosis"
"Michael Waters","Genotyping and Phenotyping of Beta2-Toxigenic Clostridium perfringens Fecal Isolates Associated with Gastrointestinal Diseases in Piglets"
"Sou-Ichi Makino","Distribution of the Secondary Type III Secretion System Locus Found in Enterohemorrhagic Escherichia coli O157:H7 Isolates among Shiga Toxin-Producing E. coli Strains"
"Chung-ming Chu","Association of Presence of Aspergillus Antibodies with Hemoptysis in Patients with Old Tuberculosis or Bronchiectasis but No Radiologically Visible Mycetoma"
"Patrick C. Y. Woo","False-Positive Results in a Recombinant Severe Acute Respiratory Syndrome-Associated Coronavirus (SARS-CoV) Nucleocapsid Enzyme-Linked Immunosorbent Assay Due to HCoV-OC43 and HCoV-229E Rectified by Western Blotting with Recombinant SARS-CoV Spike Polypeptide"
"Wulamu Mamuti","Molecular Cloning, Expression and Serological Evaluation of an 8-Kilodalton Subunit of Antigen B from Echinococcus multilocularis"
"Jean-Philippe Lavigne","First Infection with VanD-Type Glycopeptide-Resistant Enterococcus faecium in Europe"
"Michael Waters","Regulated Expression of the Beta2-Toxin Gene ( cpb2) in Clostridium perfringens Type A Isolates from Horses with Gastrointestinal Diseases"
"Ana Mena","Characterization of a Large Outbreak by CTX-M-1-Producing Klebsiella pneumoniae and Mechanisms Leading to In Vivo Carbapenem Resistance Development"
"Henry E. Cerny","Effects of Moraxella (Branhamella) ovis Culture Filtrates on Bovine Erythrocytes, Peripheral Mononuclear Cells and Corneal Epithelial Cells"
"Suharni Mohamad","Development and Evaluation of a Sensitive and Specific Assay for Diagnosis of Human Toxocariasis by Use of Three Recombinant Antigens (TES-26, TES-30USM and TES-120)"
"Adis Tasanarong","Dual Inhibiting Senescence and Epithelial-to-Mesenchymal Transition by Erythropoietin Preserve Tubular Epithelial Cell Regeneration and Ameliorate Renal Fibrosis in Unilateral Ureteral Obstruction"
"Anahita Rahmani","Neurogenesis and Increase in Differentiated Neural Cell Survival via Phosphorylation of Akt1 after Fluoxetine Treatment of Stem Cells"
"Gurbet Celik","A Comparative Study for the Evaluation of Two Doses of Ellagic Acid on Hepatic Drug Metabolizing and Antioxidant Enzymes in the Rat"
"Young-Man Lee","Involvement of Nrf2-Mediated Upregulation of Heme Oxygenase-1 in Mollugin-Induced Growth Inhibition and Apoptosis in Human Oral Cancer Cells"
"Chih-Zen Chang","Magnesium Lithospermate B, an Active Extract of Salvia miltiorrhiza, Mediates sGC/cGMP/PKG Translocation in Experimental Vasospasm"
"Jaeson Santos Calla-Choque","__-Actinin TvACTN3 of Trichomonas vaginalis Is an RNA-Binding Protein That Could Participate in Its Posttranscriptional Iron Regulatory Mechanism"
"Li Han","Downregulation of MDR1 Gene by Cepharanthine Hydrochloride Is Related to the Activation of c-Jun/JNK in K562/ADR Cells"
"Silvana Lorena Della Penna","Renal Overexpression of Atrial Natriuretic Peptide and Hypoxia Inducible Factor-1__ as Adaptive Response to a High Salt Diet"
"Mao-Lin Ho","Antimetastatic Potentials of Dioscorea nipponica on Melanoma In Vitro and In Vivo"
"Chao-Bin Yeh","Terminalia catappa Exerts Antimetastatic Effects on Hepatocellular Carcinoma through Transcriptional Inhibition of Matrix Metalloproteinase-9 by Modulating NF-_B and AP-1 Activity"
"Ying-Yi Chen","Ethanol Extracts of Fruiting Bodies of Antrodia cinnamomea Suppress CL1-5 Human Lung Adenocarcinoma Cells Migration by Inhibiting Matrix Metalloproteinase-2/9 through ERK, JNK, p38 and PI3K/Akt Signaling Pathways"
"Chih-Yu Peng","Caffeic Acid Phenethyl Ester Inhibits Oral Cancer Cell Metastasis by Regulating Matrix Metalloproteinase-2 and the Mitogen-Activated Protein Kinase Pathway"
"Chiung-Chyi Shen","Low-Level Laser Stimulation on Adipose-Tissue-Derived Stem Cell Treatments for Focal Cerebral Ischemia in Rats"
"Li Li","Decursin Isolated from Angelica gigas Nakai Rescues PC12 Cells from Amyloid __-Protein-Induced Neurotoxicity through Nrf2-Mediated Upregulation of Heme Oxygenase-1: Potential Roles of MAPK"
"Nabilatul Hani Mohd-Radzman","Stevioside from Stevia rebaudiana Bertoni Increases Insulin Sensitivity in 3T3-L1 Adipocytes"
"Zhiqiang Wang","Yangjing Capsule Extract Promotes Proliferation of GC-1 Spg Cells"
"Ya-min Zhang","Electroacupuncture Treatment Improves Neurological Function Associated with Regulation of Tight Junction Proteins in Rats with Cerebral Ischemia Reperfusion Injury"
"Lilian Amrein","The phosphatidylinositol-3 kinase I inhibitor BKM120 induces cell death in B-chronic lymphocytic leukemia cells in vitro"
"Gong Yang","RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A and BRCA2 in midbody during cytokinesis"
"Sujit K. Bhutia","Targeting breast cancer-initiating/stem cells with melanoma differentiation-associated gene-7/interleukin-24"
"Upal K. Basu Roy","Caveolin-1 is a novel regulator of K-RAS-dependent migration in colon carcinogenesis"
"Teresa Lorenzi","HtrA1 in human urothelial bladder cancer: A secreted protein and a potential novel biomarker"
"Jing Huang","Tiam1 is associated with hepatocellular carcinoma metastasis"
"Emanuela Rosati","c-Secretase inhibitor I induces apoptosis in chronic lymphocytic leukemia cells by proteasome inhibition, endoplasmic reticulum stress increase and Notch down-regulation"
"Gayathri Chadalapaka","Inhibition of rhabdomyosarcoma cell and tumor growth by targeting specificity protein (Sp) transcription factors"
"Baoyi Zhu","Cross-talk of alpha tocopherol-associated protein and JNK controls the oxidative stress-induced apoptosis in prostate cancer cells"
"Jing Hu","Ovarian cancer cells, not normal cells, are damaged by Mirk/Dyrk1B kinase inhibition"
"R. van Gelderen","Physical characterisation of Tenacibaculum maritimum for vaccine development"
"Robert P. Ryan","HD-GYP domain proteins regulate biofilm formation and virulence in Pseudomonas aeruginosa"
"Laurent Guillon","High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274"
"Lei-Chin Chen","Interplay of RsbM and RsbK controls the sB activity of Bacillus cereuse"
"Isao Hara","Introduction of 65 kDa Antigen of Mycobacterium tuberculosis to Cancer Cells Enhances Anti-Tumor Effect of BCG Therapy"
"Noritoshi Kitamoto","Preparation of Monoclonal Antibodies Cross-Reactive with Orthopoxviruses and Their Application for Direct Immunofluorescence Test"
"Kotla Siva Reddy","Expression of bovine (Bos indicus) interleukin-18 in Escherichia coli and its biological activity"
"H. Liu","Investigation of the roles of T6SS genes in motility, biofilm formation and extracellular protease Asp production in Vibrio alginolyticus with modified Gateway-compatible plasmids"
"Sandrine Koechler","Multiple controls affect arsenite oxidase gene expression in Herminiimonas arsenicoxydans"
"Scarlett R Holdsworth","Multidrug resistance protein MdtM adds to the repertoire of antiporters involved in alkaline pH homeostasis in Escherichia coli"
"Daniel C Kraushaar","Genome-wide incorporation dynamics reveal distinct categories of turnover for the histone variant H3.3"
"Arumugam Nagalingam","Honokiol activates AMP-activated protein kinase in breast cancer cells via an LKB1-dependent pathway and inhibits breast carcinogenesis"
"Ingunn Holen","Loss of plakoglobin promotes decreased cell-cell contact, increased invasion and breast cancer cell dissemination in vivo"
"Meiou Dai","A novel function for p21Cip1 and acetyltransferase p/CAF as critical transcriptional regulators of TGFb-mediated breast cancer cell migration and invasion"
"Yi Fang Lee","JMJD6 is a driver of cellular proliferation and motility and a marker of poor prognosis in breast cancer"
"Meiou Dai","Cyclin D1 cooperates with p21 to regulate TGFb-mediated breast cancer cell migration and tumor local invasion"
"Zhaojia Wu","Ubiquitin-conjugating enzyme complex Uev1A-Ubc13 promotes breast cancer metastasis through nuclear factor-_B mediated matrix metalloproteinase-1 gene regulation"
"Alexandr V. Bazhin","Low titre autoantibodies against recoverin in sera of patients with small cell lung cancer but without a loss of vision"
"Marina S. Savchenko","Antirecoverin autoantibodies in the patient with non-small cell lung cancer but without cancer-associated retinopathy"
"Stephana Carelli","Up-regulation of focal adhesion kinase in non-small cell lung cancer"
"Katherine M. Finan","In vitro susceptibility to the pro-apoptotic effects of TIMP-3 gene delivery translates to greater in vivo efficacy versus gene delivery for TIMPs-1 or -2"
"Kang Fang","Ellipticine-induced apoptosis depends on Akt translocation and signaling in lung epithelial cancer cells"
"Shun-Dong Dai","Kaiso is expressed in lung cancer: Its expression and localization is affected by p120ctn"
"Kazutoshi Komiya","Expression of Mina53, a novel c-Myc target gene, is a favorable prognostic marker in early stage lung cancer"
"Hakan Akca","Invasiveness and anchorage independent growth ability augmented by PTEN inactivation through the PI3K/AKT/NFkB pathway in lung cancer cells"
"Norimitsu Tanaka","Frequent methylation and oncogenic role of microRNA-34b/c in small-cell lung cancer"
"Dusanka S. Skundric","Increased levels of bioactive IL-16 correlate with disease activity during relapsing experimental autoimmune encephalomyelitis (EAE)"
"Pascale Gerbaud","Differential regulation of Cu, Zn- and Mn-superoxide dismutases by retinoic acid in normal and psoriatic human fibroblasts"
"M. Sisto","Autoantibodies from Sjögren's syndrome induce activation of both the intrinsic and extrinsic apoptotic pathways in human salivary gland cell line A-253"
"Itshak Golan","Expression of extra trinucleotide in CD44 variant of rheumatoid arthritis patients allows generation of disease-specific monoclonal antibody"
"Xiaoyan Xiao","Cellular and humoral immune responses in the early stages of diabetic nephropathy in NOD mice"
"Dana Ben-Ami Shor","Anti-ribosomal-P antibodies accelerate lupus glomerulonephritis and induce lupus nephritis in nai_ve mice"
"Sawsan I. Kreydiyyeh","Interleukin-1 b inhibits NaC-KCATPase activity and protein expression in cardiac myocytes"
"Ji-Yong Zhou","cDNA cloning and functional analysis of goose interleukin-2 "
"Sarine Markossian","TNF-a down-regulates the NaCeKC ATPase and the Na+-K+-2Cl- cotransporter in the rat colon via PGE2"
"Hwa-Jeong Lee","Roles of p38 and ERK MAP kinases in IL-8 expression in TNF-a- and dexamethasone-stimulated human periodontal ligament cells"
"Maria de Lujan Alvarez","Time-dependent onset of Interferon-a2b-induced apoptosis in isolated hepatocytes from preneoplastic rat livers"
"Marilena Galdiero","STAT1 and STAT3 phosphorylation by porins are independent of JAKs but are dependent on MAPK pathway and plays a role in U937 cells production of interleukin-6"
"Sawsan Ibrahim Kreydiyyeh","Tumor necrosis factor alpha down-regulates the Na+-K+ ATPase and the Na+-K+2Cl- cotransporter in the kidney cortex and medulla"
"Deok-Ho Song","Upregulation of tumor necrosis factor-alpha expression by trans10-cis12 conjugated linoleic acid enhances phagocytosis of RAW macrophages via a peroxisome proliferator-activated receptor gamma-dependent pathway"
"Chung-Hsi Hsing","The distribution of interleukin-19 in healthy and neoplastic tissue"
"M. Hyzd’alová","The interaction of butyrate with TNF-alpha during differentiation and apoptosis of colon epithelial cells: role of NF-kappaB activation"
"Taku Inokuchi","Effects of ethanol on monosodium urate crystal-induced inflammation"
"Zhao Huang","Differential chemokine expression in tubular cells in response to urinary proteins from patients with nephrotic syndrome"
"Aramati B.M. Reddy","Anti-inflammatory effect of aldose reductase inhibition in murine polymicrobial sepsis"
"Kumiko Goto","IL-13 induces translocation of NF-kappaB in cultured human bronchial smooth muscle cells"
"Surinder Safaya","Effect of sodium butyrate on lung vascular TNFSF15 (TL1A) expression: Differential expression patterns in pulmonary artery and microvascular endothelial cells"
"Yanping Yang","STAT3 induces muscle stem cell differentiation by interaction with myoD"
"Ari Kassardjian","Signaling pathway underlying the up-regulatory effect of TNF-a on the Na+/K+ ATPase in HepG2 cells"
"Hong Yu","MKP-1 regulates cytokine mRNA stability through selectively modulation subcellular translocation of AUF1"
"Markus Neumeier","Adiponectin stimulates release of CCL2, -3, -4 and -5 while the surface abundance of CCR2 and -5 is simultaneously reduced in primary human monocytes"
"Ping Chen","Upregulation of PIAS1 protects against sodium taurocholate-induced severe acute pancreatitis associated with acute lung injury"
"Ye Zeng","CXCR1 and CXCR2 are novel mechano-sensors mediating laminar shear stress-induced endothelial cell migration"
"Yue Wang","Autocrine production of interleukin-8 confers cisplatin and paclitaxel resistance in ovarian cancer cells"
"Hong-Xia Wang","Upregulation of cytochrome P450 2J3/11,12-epoxyeicosatrienoic acid inhibits apoptosis in neonatal rat cardiomyocytes by a caspase-dependent pathway"
"Muyao Li","Differential activation of the inflammasome in THP-1 cells exposed to chrysotile asbestos and Libby ‘‘six-mix’’ amphiboles and subsequent activation of BEAS-2B cells"
"Yong-Duk Park","Porphyromonas gingivalis lipopolysaccharide regulates interleukin (IL)-17 and IL-23 expression via SIRT1 modulation in human periodontal ligament cells"
"Christina Galloway","Increases in inflammatory mediators in DRG implicate in the pathogenesis of painful neuropathy in Type 2 diabetes"
"Kyoung Sik Park (only one author)","Aucubin, a naturally occurring iridoid glycoside inhibits TNF-_-induced inflammatory responses through suppression of NF-_B activation in 3T3-L1 adipocytes"
"Bin-Bin Ni","The effect of transforming growth factor _1 on the crosstalk between autophagy and apoptosis in the annulus fibrosus cells under serum deprivation"
"Hui Li","A Neoplastic Gene Fusion Mimics Trans-Splicing of RNAs in Normal Human Cells"
"Nitai C. Hait","Regulation of Histone Acetylation in the Nucleus by Sphingosine-1-Phosphate"
"Hulya Karatas","Spreading Depression Triggers Headache by Activating Neuronal Panx1 Channels"
"Hideki Sakahira","Cleavage of CAD inhibitor in CAD activation and DNA degradation during apoptosis"
"Timothy A. Chan","14-3-3__ is required to prevent mitotic catastrophe after DNA damage"
"Morgan E. Carlson","Imbalance between pSmad3 and Notch induces CDK inhibitors in old muscle stem cells"
"Shidong Jia","Essential roles of PI(3)K–p110b in cell growth, metabolism and tumorigenesis"
"Michael J. Wheeler","Identification of the pollen self-incompatibility determinant in Papaver rhoeas"
"Corine Bertolotto","A SUMOylation-defective MITF germline mutation predisposes to melanoma and renal carcinoma"
"Feng Zhou","D14–SCFD3-dependent degradation of D53 regulates strigolactone signalling"
"S Kale","Osteopontin signaling upregulates cyclooxygenase-2 expression in tumor-associated macrophages leading to enhanced angiogenesis and melanoma growth via a9b1 integrin"
"CM Das","The deubiquitylase USP37 links REST to the control of p27 stability and cell proliferation"
"CC Jiang","Repression of microRNA-768-3p by MEK/ERK signalling contributes to enhanced mRNA translation in human melanoma"
"Z Zhang","STIM1, a direct target of microRNA-185, promotes tumor metastasis and is associated with poor prognosis in colorectal cancer"
"T-I Hsu","MMP7-mediated cleavage of nucleolin at Asp255 induces MMP9 expression to promote tumor malignancy"
"Emmanuel Dornier","TspanC8 tetraspanins regulate ADAM10/Kuzbanian trafficking and promote Notch activation in flies and mammals"
"HIROFUMI YAMAMOTO","Distinct expression of C4.4A in colorectal cancer detected by different antibodies"
"BO LI","Adenovirus-mediated overexpression of BMP-9 inhibits human osteosarcoma cell growth and migration through downregulation of the PI3K/AKT pathway"
"EUN YOUNG GIL","Promoter methylation of RASSF1A modulates the effect of the microtubule-targeting agent docetaxel in breast cancer"
"YUKI FUJISE","Preventive effect of caffeine and curcumin on hepato_ carcinogenesis in diethylnitrosamine_induced rats"
"CHIACHEN CHEN","Leptin stimulates ovarian cancer cell growth and inhibits apoptosis by increasing cyclin D1 and Mcl-1 expression via the activation of the MEK/ERK1/2 and PI3K/Akt signaling pathways"
"WEI YANG","Genetic and epigenetic alterations are involved in the regulation of TPM1 in cholangiocarcinoma"
"MICHIYO YAMAMURA","Functional analysis of Zyxin in cell migration and invasive potential of oral squamous cell carcinoma cells"
"TONI IBRAHIM","Cisplatin in combination with zoledronic acid: A synergistic effect in triple-negative breast cancer cell lines"
"LI MA","Estrogen receptor _ inhibits estradiol-induced proliferation and migration of MCF-7 cells through regulation of mitofusin 2"
"Steffen Zender","A Critical Role for Notch Signaling in the Formation of Cholangiocellular Carcinomas"
"Luke Martin McCaffrey","Loss of the Par3 Polarity Protein Promotes Breast Tumorigenesis and Metastasis"
"Lu Wang","CARM1 Methylates Chromatin Remodeling Factor BAF155 to Enhance Tumor Progression and Metastasis"
"Corentin Herbert","Molecular Mechanism of SSR128129E, an Extracellularly Acting, Small-Molecule, Allosteric Inhibitor of FGF Receptor Signaling"
"Janice D. Thomas","Rab1A Is an mTORC1 Activator and a Colorectal Oncogene"
"King Ching Ho","Itch E3 ubiquitin ligase regulates large tumor suppressor 1 stability"
"Nathalie Delgehyr","Drosophila Mgr, a Prefoldin subunit cooperating with von Hippel Lindau to regulate tubulin stability"
"Rajesh K. Grover","The costimulatory immunogen LPS induces the B-Cell clones that infiltrate transplanted human kidneys"
"Kevin Y. Lee","Shox2 is a molecular determinant of depot-specific adipocyte function"
"Shuyu Ren","LRP-6 is a coreceptor for multiple fibrogenic signaling pathways in pericytes and myofibroblasts that are inhibited by DKK-1"
"Zhongyuan Wang","Interplay of mevalonate and Hippo pathways regulates RHAMM transcription via YAP to modulate breast cancer cell motility"
